timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271463.634616,-0.005,-0.023,1.031,-2.739,1.961,-0.282,-513.289,96.775,23.291
1753271463.7562187,-0.005,-0.02,1.03,-2.724,1.991,-0.298,-514.378,96.775,21.19
1753271463.8756685,-0.004,-0.02,1.029,-2.754,1.945,-0.298,-512.926,96.412,19.089
1753271463.9965634,-0.005,-0.02,1.035,-2.67,1.961,-0.374,-513.107,97.32,21.715
1753271464.118395,-0.006,-0.019,1.029,-2.693,1.892,-0.267,-512.2,97.501,21.891
1753271464.2409298,-0.006,-0.02,1.031,-2.686,1.9,-0.275,-512.2,97.138,21.19
1753271464.3631604,-0.006,-0.021,1.029,-2.663,1.938,-0.328,-514.197,96.23,22.066
1753271464.4860015,-0.007,-0.021,1.034,-2.777,1.915,-0.305,-511.292,95.867,21.715
1753271464.6082401,-0.005,-0.021,1.029,-2.777,2.014,-0.305,-514.56,97.683,22.766
1753271464.731975,-0.004,-0.02,1.033,-2.67,1.945,-0.366,-513.289,96.412,19.789
1753271464.8544486,-0.005,-0.02,1.03,-2.716,1.976,-0.351,-512.744,95.141,22.416
1753271464.9769826,-0.006,-0.021,1.033,-2.708,1.976,-0.328,-513.289,96.049,20.139
1753271465.0990243,-0.007,-0.019,1.033,-2.731,1.831,-0.32,-514.742,96.049,22.241
1753271465.2212849,-0.005,-0.02,1.033,-2.632,1.9,-0.282,-513.652,97.138,21.54
1753271465.343398,-0.005,-0.022,1.028,-2.724,1.984,-0.336,-513.471,96.957,20.665
1753271465.46417,-0.005,-0.021,1.033,-2.731,1.968,-0.252,-512.563,97.864,21.54
1753271465.5849254,-0.007,-0.021,1.03,-2.708,1.93,-0.343,-513.834,93.325,21.715
1753271465.7063441,-0.004,-0.021,1.035,-2.754,1.999,-0.282,-511.11,97.138,21.891
1753271465.8269143,-0.006,-0.021,1.031,-2.739,1.991,-0.259,-514.015,96.049,20.49
1753271465.9488149,-0.007,-0.022,1.031,-2.716,1.968,-0.328,-513.471,96.957,22.766
1753271466.0693657,-0.006,-0.021,1.03,-2.67,1.915,-0.32,0,0,0
1753271466.1889343,-0.005,-0.019,1.032,-2.739,1.892,-0.328,-513.652,97.864,22.591
1753271466.3098543,-0.006,-0.021,1.028,-2.678,1.892,-0.298,-512.563,97.138,21.54
1753271466.4311123,-0.004,-0.021,1.03,-2.762,1.999,-0.252,-514.015,97.501,22.241
1753271466.5529964,-0.006,-0.019,1.032,-2.716,1.945,-0.298,-514.197,95.504,20.314
1753271466.6775486,-0.008,-0.02,1.03,-2.632,1.984,-0.305,-512.018,96.593,22.766
1753271466.799333,-0.006,-0.021,1.032,-2.754,1.93,-0.328,-513.652,97.501,22.241
1753271466.9213474,-0.004,-0.022,1.034,-2.693,1.907,-0.32,-512.926,96.775,21.54
1753271467.0439653,-0.008,-0.02,1.031,-2.777,1.923,-0.32,-514.197,95.504,20.665
1753271467.166576,-0.005,-0.023,1.033,-2.701,1.961,-0.343,-513.652,96.412,21.891
1753271467.2888813,-0.005,-0.019,1.03,-2.655,1.968,-0.298,-510.929,95.504,19.264
1753271467.4115953,-0.005,-0.021,1.028,-2.762,2.075,-0.351,-512.926,98.591,20.49
1753271467.5342805,-0.006,-0.022,1.032,-2.716,2.045,-0.252,-513.471,97.683,22.416
1753271467.6564999,-0.006,-0.022,1.03,-2.701,1.938,-0.412,-514.197,95.867,21.365
1753271467.7787209,-0.007,-0.022,1.032,-2.708,2.007,-0.29,-514.378,95.686,22.941
1753271467.898935,-0.006,-0.021,1.03,-2.777,1.915,-0.305,-514.378,94.959,21.19
1753271468.0189838,-0.007,-0.021,1.029,-2.754,1.968,-0.267,-512.018,97.32,20.665
1753271468.1395838,-0.007,-0.022,1.031,-2.701,1.892,-0.359,-512.381,97.32,23.116
1753271468.2604458,-0.004,-0.022,1.028,-2.686,2.007,-0.275,-512.744,97.32,21.365
1753271468.3813672,-0.004,-0.02,1.03,-2.739,1.923,-0.32,-513.289,96.049,20.49
1753271468.502861,-0.006,-0.023,1.03,-2.64,2.007,-0.275,-514.378,97.501,21.19
1753271468.6233995,-0.005,-0.021,1.033,-2.678,1.999,-0.359,-514.56,96.593,19.614
1753271468.7453144,-0.005,-0.021,1.029,-2.792,1.884,-0.374,-513.289,96.412,21.54
1753271468.86678,-0.007,-0.021,1.032,-2.823,1.984,-0.366,-514.56,98.046,20.314
1753271468.9891207,-0.007,-0.019,1.03,-2.785,1.869,-0.305,-512.744,94.778,20.665
1753271469.1123579,-0.005,-0.018,1.028,-2.815,1.923,-0.336,-512.563,94.959,20.49
1753271469.2359169,-0.004,-0.019,1.03,-2.747,1.907,-0.305,-513.107,94.778,22.416
1753271469.4234126,-0.006,-0.023,1.027,-2.762,1.991,-0.305,-513.834,96.23,18.913
1753271469.546377,-0.007,-0.022,1.029,-2.754,1.923,-0.313,-513.834,94.778,21.015
1753271469.670279,-0.006,-0.023,1.031,-2.686,1.976,-0.275,-513.289,95.323,22.591
1753271469.835988,-0.004,-0.02,1.032,-2.708,1.877,-0.298,-512.2,97.864,23.291
1753271469.9718244,-0.005,-0.022,1.034,-2.823,1.976,-0.343,-512.926,96.049,20.49
1753271470.0911689,-0.004,-0.023,1.036,-2.701,1.915,-0.305,-514.56,95.867,19.614
1753271470.2105613,-0.006,-0.02,1.031,-2.724,1.961,-0.336,-514.378,96.412,21.54
1753271470.3284178,-0.007,-0.021,1.028,-2.739,1.984,-0.389,-513.107,96.957,20.665
1753271470.4435601,-0.007,-0.021,1.028,-2.762,1.945,-0.275,0,0,0
1753271470.5592413,-0.004,-0.02,1.03,-2.663,1.938,-0.389,-512.381,95.141,19.264
1753271470.6757908,-0.007,-0.02,1.03,-2.67,1.999,-0.336,-517.102,96.593,22.766
1753271470.7921174,-0.006,-0.021,1.025,-2.777,1.93,-0.351,-515.468,96.775,21.54
1753271470.9081554,-0.005,-0.022,1.035,-2.678,1.968,-0.328,-514.378,97.501,22.241
1753271471.0245385,-0.005,-0.02,1.028,-2.731,1.953,-0.305,-513.834,98.409,21.715
1753271471.1402729,-0.005,-0.022,1.031,-2.747,1.953,-0.267,-515.649,94.778,21.015
