timestamp,fps,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
1753097895.7541869,8.41,0.576567885090468,0.051319680990727826,-0.01983921668931491,0.9997773481302429,-0.009906376114597047,-0.018631099751149353,0.009302638536585209,0.9994376058095843,-0.03221696773228133,0.018939775128516047,0.03203647617765429,0.9993072345941442
1753097895.9188216,8.22,0.6265567518460031,0.051784812911500125,-0.018892227945219164,0.9997773481302429,-0.009906376114597094,-0.018631099751149988,0.009302638536583769,0.9994376058095843,-0.03221696773228085,0.018939775128516634,0.03203647617765437,0.9993072345941442
1753097896.0832348,7.98,0.6759900741987487,0.04509578453322182,-0.02229863146723582,0.9995358027449877,-0.008014989100062835,-0.029392838935037854,0.007103724923993598,0.9994948422021359,-0.030977370829860677,0.029626274202798595,0.03075419257682516,0.9990878157178199
1753097896.2469687,7.97,0.7259668648108697,0.04545097078264648,-0.02081731774167834,0.9995358027449674,-0.008014989099812114,-0.029392838935791244,0.007103724923742442,0.9994948422021611,-0.030977370829105497,0.029626274203539672,0.0307541925760717,0.999087815717821
1753097896.4874506,7.92,0.7759436546354399,0.04580615702661339,-0.01933600404076319,0.9995358027449677,-0.008014989099811303,-0.029392838935783913,0.007103724923741315,0.999494842202161,-0.030977370829104116,0.029626274203533108,0.030754192576070476,0.9990878157178212
1753097896.651921,4.94,0.8257532424562837,0.043077205429427556,-0.02273568695284654,0.9989429599587969,-0.01099023161579383,-0.04463381630323477,0.009666172701417279,0.9995099413893354,-0.02977317868808421,0.044939157246951,0.02931026906934758,0.9985596528365307
1753097896.8075306,7.83,0.8257532424562837,0.043077205429427556,-0.02273568695284654,0.9989429599587969,-0.01099023161579383,-0.04463381630323477,0.009666172701417279,0.9995099413893354,-0.02977317868808421,0.044939157246951,0.02931026906934758,0.9985596528365307
1753097896.9750874,8.58,0.8385156221343067,0.05350994890532719,0.024468968460798345,0.9994019467949511,-0.010567749482187024,-0.032925239761383514,0.009628534830839345,0.9995458541533316,-0.028554802781614735,0.03321204690280546,0.02822070367243659,0.9990498244956333
1753097897.1466246,7.65,0.8884857197464888,0.05399137564950172,0.02612957081501449,0.9994019467949508,-0.010567749482185933,-0.03292523976139335,0.009628534830837247,0.9995458541533317,-0.02855480278161123,0.03321204690281487,0.02822070367243309,0.9990498244956331
1753097897.3168705,7.6,0.938455816854096,0.054472802388806744,0.027790173152440326,0.9994019467949506,-0.01056774948218666,-0.03292523976139476,0.00962853483083657,0.9995458541533317,-0.028554802781611845,0.033212046902816254,0.028220703672433015,0.999049824495633
1753097897.4876869,7.65,0.9884259145906132,0.05495422913417108,0.02945077551076576,0.9994019467949508,-0.010567749482186702,-0.03292523976139506,0.009628534830836668,0.9995458541533317,-0.028554802781611776,0.03321204690281442,0.028220703672432935,0.999049824495633
1753097897.6569052,7.63,0.9916025917863623,0.043923682435484834,-0.01921374661819307,0.999905680091159,-0.003569521145233234,-0.013262331628784913,0.0031976450282423705,0.9996040347551063,-0.027956193724904387,0.013356870431033365,0.02791114867046538,0.9995211662552128
1753097897.834289,7.55,1.0415978759748876,0.04408356468747262,-0.018545903094103876,0.9999056800911599,-0.0035695211452337963,-0.0132623316287221,0.0031976450282446083,0.9996040347551061,-0.02795619372491407,0.013356870430970412,0.027911148670475276,0.9995211662552133
1753097898.007281,7.18,1.0877121219461683,0.03273229351747631,-0.03418639379256876,0.9999693357463324,-0.0012702686515112115,-0.007727482422707328,0.001070186683203655,0.9996654794465841,-0.02584151511217425,0.007757723087563576,0.025832452852616518,0.999636184875333
1753097898.1799092,7.36,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097898.3424475,7.41,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097898.5106099,8.08,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097898.669568,7.78,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097898.8294373,8.25,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097898.991473,8.32,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097899.156113,8.13,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
1753097899.3175144,8.05,1.1377105885847336,0.032785803555629746,-0.03379850888948109,0.9999693357428707,-0.0012702684899401654,-0.007727482897221344,0.0010701865117588704,0.9996654794545469,-0.02584151481123903,0.0077577235574231,0.025832452552417885,0.9996361848794442
