frame_idx,t_capture_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[74, 1.691579818725586, 55.23848533630371, 1.9350051879882812, 2.493143081665039, 61.35821342468262, 16.297736589535855]"
"[75, 1.1930465698242188, 56.23269081115723, 1.9421577453613281, 2.5086402893066406, 61.876535415649414, 16.161215124321366]"
"[76, 1.215219497680664, 55.991172790527344, 1.9381046295166016, 2.5076866149902344, 61.652183532714844, 16.220025677912354]"
"[77, 1.4200210571289062, 57.93499946594238, 1.997232437133789, 2.470731735229492, 63.82298469543457, 15.668336489934365]"
"[78, 1.1508464813232422, 57.0986270904541, 1.9545555114746094, 2.568960189819336, 62.77298927307129, 15.930418665420888]"
"[79, 5.0201416015625, 58.037757873535156, 1.9388198852539062, 2.488374710083008, 67.48509407043457, 14.818087072032446]"
"[80, 1.0600090026855469, 57.42764472961426, 1.9278526306152344, 2.492189407348633, 62.90769577026367, 15.896306290600105]"
"[81, 1.1920928955078125, 56.48231506347656, 1.9335746765136719, 2.496480941772461, 62.10446357727051, 16.101902220857248]"
"[82, 1.3432502746582031, 57.882070541381836, 1.9466876983642578, 2.5353431701660156, 63.70735168457031, 15.696775545642346]"
"[83, 1.2047290802001953, 57.468414306640625, 1.9276142120361328, 2.476930618286133, 63.077688217163086, 15.853466229726308]"
"[84, 1.2483596801757812, 57.586669921875, 1.9595623016357422, 2.476215362548828, 63.27080726623535, 15.805077305116871]"
"[85, 1.1677742004394531, 58.3343505859375, 1.9304752349853516, 2.5129318237304688, 63.94553184509277, 15.638309216388834]"
"[86, 1.1792182922363281, 56.41627311706543, 1.9273757934570312, 2.5191307067871094, 62.0419979095459, 16.118114079078328]"
"[87, 1.1477470397949219, 115.47088623046875, 1.928567886352539, 2.5398731231689453, 121.08707427978516, 8.258519796170718]"
"[88, 1.4483928680419922, 57.81888961791992, 1.9390583038330078, 2.518892288208008, 63.72523307800293, 15.692371007508894]"
"[89, 1.3637542724609375, 59.01789665222168, 1.920938491821289, 2.4890899658203125, 64.79167938232422, 15.434080572278074]"
