frame_idx,t_capture_ms,t_yolo_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[112, 1.3136863708496094, 1354.804277420044, 60.74857711791992, 1.973867416381836, 63.387155532836914, 1421.4789867401123, 0.7034926364218067]"
"[113, 1.0213851928710938, 1311.3563060760498, 62.686920166015625, 1.8701553344726562, 65.31500816345215, 1379.5628547668457, 0.7248672987567543]"
"[114, 1.077413558959961, 1379.6207904815674, 121.48427963256836, 1.867532730102539, 124.11379814147949, 1506.6795349121094, 0.6637111454881041]"
"[115, 1.5413761138916016, 1238.2261753082275, 121.80352210998535, 1.8651485443115234, 124.44019317626953, 1366.0728931427002, 0.7320253589831973]"
"[116, 3.1557083129882812, 1294.264554977417, 58.9444637298584, 1.8677711486816406, 61.57207489013672, 1360.8601093292236, 0.7348293870505956]"
"[117, 1.0688304901123047, 1246.4187145233154, 59.05485153198242, 1.8796920776367188, 61.699628829956055, 1311.0668659210205, 0.7627376040027547]"
"[118, 0.8933544158935547, 1272.223711013794, 91.31693840026855, 1.9826889038085938, 93.92690658569336, 1369.0266609191895, 0.7304459646743342]"
"[119, 0.8747577667236328, 1303.9238452911377, 35.181283950805664, 1.874685287475586, 37.8108024597168, 1344.4840908050537, 0.7437797195511755]"
"[120, 1.0957717895507812, 1236.7091178894043, 22.925615310668945, 1.8799304962158203, 25.403499603271484, 1265.0883197784424, 0.7904586457450908]"
"[121, 1.230001449584961, 1288.604497909546, 51.80501937866211, 1.9638538360595703, 54.433584213256836, 1346.2319374084473, 0.7428140517339396]"
"[122, 1.1179447174072266, 1212.7690315246582, 22.305011749267578, 1.8737316131591797, 24.921655654907227, 1240.6823635101318, 0.8060080721795749]"
"[123, 1.2042522430419922, 1296.306848526001, 90.57760238647461, 1.8718242645263672, 94.04754638671875, 1393.430471420288, 0.7176533171265629]"
"[124, 1.2850761413574219, 1296.661615371704, 33.637046813964844, 1.8742084503173828, 36.119937896728516, 1335.9408378601074, 0.7485361414670031]"
"[125, 1.1515617370605469, 1258.3158016204834, 41.290283203125, 1.8641948699951172, 43.91169548034668, 1305.2432537078857, 0.7661407152722205]"
"[126, 2.2258758544921875, 1311.9070529937744, 60.32919883728027, 1.8703937530517578, 62.959909439086914, 1378.9632320404053, 0.7251824970853892]"
"[127, 1.0135173797607422, 1350.0237464904785, 118.04771423339844, 1.8610954284667969, 120.65792083740234, 1473.5562801361084, 0.6786303404086016]"
"[128, 1.6982555389404297, 1284.1925621032715, 60.15610694885254, 1.895904541015625, 62.818288803100586, 1350.6050109863281, 0.7404089218280879]"
"[129, 1.1248588562011719, 1270.6570625305176, 60.93311309814453, 1.8584728240966797, 63.56644630432129, 1337.2068405151367, 0.747827463711423]"
"[130, 1.0807514190673828, 1320.9774494171143, 58.390140533447266, 1.8572807312011719, 61.03777885437012, 1384.953260421753, 0.7220460275283767]"
"[131, 1.1043548583984375, 1381.464958190918, 58.80618095397949, 1.8668174743652344, 61.441659927368164, 1445.8777904510498, 0.6916213850190231]"
"[132, 1.0783672332763672, 1310.8999729156494, 60.102224349975586, 1.8572807312011719, 62.73818016052246, 1376.5738010406494, 0.726441255270171]"
"[133, 1.0530948638916016, 1297.0349788665771, 116.95146560668945, 1.875162124633789, 119.78530883789062, 1419.7485446929932, 0.704350079271425]"
"[134, 1.2989044189453125, 1273.2982635498047, 58.07352066040039, 1.870870590209961, 60.81128120422363, 1337.2793197631836, 0.7477869321848843]"
"[135, 1.7817020416259766, 1319.2565441131592, 99.69258308410645, 1.9688606262207031, 102.37860679626465, 1425.3857135772705, 0.7015644891587373]"
"[136, 1.0368824005126953, 1291.635274887085, 114.87460136413574, 1.8641948699951172, 117.5088882446289, 1412.0452404022217, 0.7081926069983067]"
"[137, 1.0683536529541016, 1318.357229232788, 115.17715454101562, 1.9137859344482422, 117.80214309692383, 1439.1415119171143, 0.6948586999397137]"
"[138, 1.1518001556396484, 1306.4022064208984, 56.04147911071777, 1.8715858459472656, 58.71701240539551, 1368.1426048278809, 0.7309179587502174]"
"[139, 1.0457038879394531, 1289.4818782806396, 115.39959907531738, 1.867055892944336, 118.01338195800781, 1410.4080200195312, 0.7090146863927731]"
"[140, 1.1196136474609375, 1230.6430339813232, 59.14783477783203, 1.86920166015625, 61.789512634277344, 1295.4213619232178, 0.771949598326349]"
"[141, 1.1684894561767578, 1293.384075164795, 69.12517547607422, 1.9812583923339844, 71.76971435546875, 1368.3035373687744, 0.7308319920907198]"
"[142, 1.0027885437011719, 1324.5162963867188, 60.96911430358887, 1.8646717071533203, 63.61103057861328, 1390.9947872161865, 0.7189099550842395]"
"[143, 1.0402202606201172, 1272.60160446167, 61.153411865234375, 1.8715858459472656, 63.797950744628906, 1339.3113613128662, 0.7466523684378704]"
"[144, 1.0898113250732422, 1311.5549087524414, 60.378074645996094, 1.8696784973144531, 63.03119659423828, 1377.5455951690674, 0.7259287848670222]"
"[145, 1.0020732879638672, 1313.2264614105225, 60.39690971374512, 1.8715858459472656, 63.0338191986084, 1379.133939743042, 0.7250927347827568]"
"[146, 1.1208057403564453, 1279.9317836761475, 115.3724193572998, 4.392147064208984, 118.00074577331543, 1403.4454822540283, 0.7125321308483835]"
"[147, 1.188039779663086, 1218.8427448272705, 96.76980972290039, 1.977682113647461, 99.43985939025879, 1321.4483261108398, 0.7567454437988538]"
"[148, 0.9584426879882812, 1308.1004619598389, 119.31061744689941, 1.8761157989501953, 121.95253372192383, 1432.8875541687012, 0.6978914689367627]"
