frame_id,class_name,mean_conf,std_conf
318,laptop,0.652,0.105
319,mouse,0.863,0.0
319,laptop,0.657,0.032
319,cell phone,0.676,0.0
320,cell phone,0.915,0.0
320,mouse,0.902,0.0
321,cell phone,0.84,0.0
321,mouse,0.797,0.0
321,laptop,0.542,0.0
322,cell phone,0.917,0.0
322,mouse,0.789,0.0
322,person,0.502,0.0
323,cell phone,0.916,0.0
323,mouse,0.86,0.0
323,person,0.647,0.0
323,keyboard,0.56,0.0
324,cell phone,0.92,0.0
324,mouse,0.904,0.0
324,cup,0.895,0.0
324,laptop,0.583,0.0
324,person,0.571,0.0
325,cell phone,0.9,0.0
325,cup,0.862,0.0
325,mouse,0.842,0.0
325,keyboard,0.764,0.0
325,person,0.555,0.0
326,cell phone,0.933,0.0
326,mouse,0.82,0.0
326,keyboard,0.737,0.0
326,person,0.671,0.0
326,laptop,0.515,0.0
327,mouse,0.82,0.0
328,mouse,0.827,0.0
328,keyboard,0.683,0.0
336,chair,0.739,0.0
337,cell phone,0.801,0.0
338,chair,0.71,0.087
338,tv,0.693,0.0
339,chair,0.749,0.027
339,tv,0.6,0.0
340,chair,0.816,0.002
340,tv,0.579,0.0
341,chair,0.661,0.105
342,chair,0.665,0.0
343,chair,0.607,0.0
344,chair,0.658,0.017
346,person,0.736,0.0
346,chair,0.724,0.009
347,person,0.783,0.0
347,chair,0.679,0.0
349,person,0.743,0.0
349,chair,0.605,0.0
350,person,0.893,0.0
350,chair,0.632,0.0
351,chair,0.785,0.0
351,person,0.505,0.0
352,chair,0.812,0.0
352,person,0.65,0.0
353,chair,0.8,0.0
353,person,0.786,0.0
354,person,0.881,0.0
354,chair,0.76,0.0
355,person,0.721,0.0
355,chair,0.563,0.0
356,chair,0.795,0.0
356,person,0.512,0.0
357,person,0.744,0.0
357,chair,0.731,0.0
358,person,0.633,0.0
360,chair,0.557,0.0
360,tv,0.542,0.0
361,dining table,0.638,0.0
361,tv,0.633,0.0
362,tv,0.752,0.0
362,chair,0.595,0.024
363,tv,0.752,0.0
363,chair,0.685,0.023
363,dining table,0.507,0.0
